Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,38.869999,39.430000,38.680000,38.700001,38.700001,387300
2022-10-07,38.500000,38.617001,38.060001,38.270000,38.270000,440100
2022-10-10,38.130001,38.200001,37.305000,37.490002,37.490002,570900
2022-10-11,39.000000,40.919998,38.810001,39.740002,39.740002,1707700
2022-10-12,39.810001,40.560001,39.320000,40.080002,40.080002,813000
2022-10-13,39.320000,40.349998,38.770000,39.810001,39.810001,444900
2022-10-14,40.209999,40.500000,39.250000,39.380001,39.380001,404200
2022-10-17,40.090000,41.910000,40.009998,41.500000,41.500000,855000
2022-10-18,42.240002,43.349998,41.799999,41.849998,41.849998,835200
2022-10-19,41.680000,41.770000,40.090000,40.169998,40.169998,600500
2022-10-20,40.060001,40.970001,39.862999,40.080002,40.080002,459000
2022-10-21,40.560001,41.560001,40.070000,41.560001,41.560001,449100
2022-10-24,41.580002,41.820000,40.645000,41.660000,41.660000,478000
2022-10-25,42.049999,43.840000,42.049999,43.360001,43.360001,730900
2022-10-26,43.090000,43.759998,42.130001,42.169998,42.169998,588700
2022-10-27,42.290001,43.549999,42.160000,42.950001,42.950001,665200
2022-10-28,42.880001,43.860001,42.599998,43.820000,43.820000,707200
2022-10-31,43.820000,44.070000,43.139999,43.259998,43.259998,652400
2022-11-01,43.549999,44.230000,42.930000,43.700001,43.700001,551300
2022-11-02,42.500000,43.639999,41.520000,41.660000,41.660000,883000
2022-11-03,45.310001,48.439999,44.279999,48.090000,48.090000,2709900
2022-11-04,49.209999,49.990002,47.240002,48.639999,48.639999,930000
2022-11-07,48.810001,50.180000,48.450001,50.119999,50.119999,839700
2022-11-08,50.259998,51.150002,49.709999,50.490002,50.490002,733900
2022-11-09,50.380001,50.470001,49.430000,49.750000,49.750000,528300
2022-11-10,51.220001,52.014999,50.660000,51.570000,51.570000,689100
2022-11-11,51.730000,52.049999,49.369999,49.590000,49.590000,839400
2022-11-14,49.650002,50.990002,49.020000,50.169998,50.169998,769800
2022-11-15,51.029999,52.630001,50.931000,51.750000,51.750000,618300
2022-11-16,52.430000,53.355000,51.599998,52.919998,52.919998,608200
2022-11-17,52.750000,53.680000,52.240002,52.709999,52.709999,749200
2022-11-18,53.549999,55.430000,53.000000,54.910000,54.910000,806400
2022-11-21,55.090000,55.709999,54.040001,54.419998,54.419998,663200
2022-11-22,54.680000,55.040001,52.799999,54.299999,54.299999,764500
2022-11-23,54.459999,55.880001,54.220001,54.919998,54.919998,415400
2022-11-25,54.750000,55.700001,54.520000,55.509998,55.509998,175300
2022-11-28,55.369999,56.924999,55.220001,55.480000,55.480000,536500
2022-11-29,55.290001,55.490002,53.542000,53.680000,53.680000,884000
2022-11-30,53.669998,55.275002,53.380001,54.959999,54.959999,840700
2022-12-01,54.880001,55.903000,54.505001,55.400002,55.400002,657100
2022-12-02,55.049999,55.570000,54.700001,55.259998,55.259998,734700
2022-12-05,54.570000,55.049999,53.680000,53.930000,53.930000,760200
2022-12-06,54.029999,55.660000,53.980000,54.810001,54.810001,820300
2022-12-07,54.580002,54.950001,54.099998,54.500000,54.500000,504600
2022-12-08,54.919998,55.639999,54.419998,55.070000,55.070000,550800
2022-12-09,54.639999,55.020000,53.779999,53.820000,53.820000,443600
2022-12-12,53.830002,54.669998,52.369999,54.590000,54.590000,570500
2022-12-13,56.099998,56.623001,54.750000,55.810001,55.810001,723500
2022-12-14,55.810001,56.786999,55.189999,56.310001,56.310001,461500
2022-12-15,55.410000,56.090000,55.139999,55.500000,55.500000,493500
